Time_Index,MA_natural_gas_turbine,MA_natural_gas_combined_cycle,MA_solar_pv,MA_onshore_wind,CT_natural_gas_turbine,CT_natural_gas_combined_cycle,CT_solar_pv,ME_natural_gas_turbine,ME_natural_gas_combined_cycle,ME_onshore_wind,ME_solar_pv,ME_battery,MA_fission,CT_fission,MA_battery,CT_battery,ME_battery,COAST_offshore_wind_fixed,COAST_offshore_wind_floating
41,0.9,0.9,0.004,0.623,0.9,0.9,0.007,0.9,0.9,0.882,0.002577,0.9,0.9,0.9,1,1,1,0.963,0.963
42,0.9,0.9,0,0.69,0.9,0.9,0,0.9,0.9,0.791,0,0.9,0.9,0.9,1,1,1,0.991,0.991
43,0.9,0.9,0,0.641,0.9,0.9,0,0.9,0.9,0.616,0,0.9,0.9,0.9,1,1,1,1,1
44,0.9,0.9,0,0.639,0.9,0.9,0,0.9,0.9,0.661,0,0.9,0.9,0.9,1,1,1,1,1
45,0.9,0.9,0,0.442,0.9,0.9,0,0.9,0.9,0.613,0,0.9,0.9,0.9,1,1,1,1,1
46,0.9,0.9,0,0.471,0.9,0.9,0,0.9,0.9,0.663,0,0.9,0.9,0.9,1,1,1,1,1
47,0.9,0.9,0,0.397,0.9,0.9,0,0.9,0.9,0.593,0,0.9,0.9,0.9,1,1,1,1,1
48,0.9,0.9,0,0.435,0.9,0.9,0,0.9,0.9,0.492,0,0.9,0.9,0.9,1,1,1,1,1
49,0.9,0.9,0,0.189,0.9,0.9,0,0.9,0.9,0.508,0,0.9,0.9,0.9,1,1,1,1,1
50,0.9,0.9,0,0.194,0.9,0.9,0,0.9,0.9,0.503,0,0.9,0.9,0.9,1,1,1,1,1
51,0.9,0.9,0,0.174,0.9,0.9,0,0.9,0.9,0.435,0,0.9,0.9,0.9,1,1,1,1,1
52,0.9,0.9,0,0.192,0.9,0.9,0,0.9,0.9,0.573,0,0.9,0.9,0.9,1,1,1,0.863,0.863
53,0.9,0.9,0,0.159,0.9,0.9,0,0.9,0.9,0.479,0,0.9,0.9,0.9,1,1,1,0.902,0.902
54,0.9,0.9,0,0.12,0.9,0.9,0,0.9,0.9,0.406,0,0.9,0.9,0.9,1,1,1,0.805,0.805
55,0.9,0.9,0,0.13,0.9,0.9,0,0.9,0.9,0.304,0,0.9,0.9,0.9,1,1,1,0.73,0.73
56,0.9,0.9,0.002,0.098,0.9,0.9,0.001,0.9,0.9,0.317,0.006585,0.9,0.9,0.9,1,1,1,0.679,0.679
57,0.9,0.9,0.018,0.083,0.9,0.9,0.024,0.9,0.9,0.318,0.084492,0.9,0.9,0.9,1,1,1,0.646,0.646
58,0.9,0.9,0.047,0.035,0.9,0.9,0.029,0.9,0.9,0.218,0.234458,0.9,0.9,0.9,1,1,1,0.459,0.459
59,0.9,0.9,0.069,0.061,0.9,0.9,0.035,0.9,0.9,0.111,0.214323,0.9,0.9,0.9,1,1,1,0.296,0.296
60,0.9,0.9,0.069,0.065,0.9,0.9,0.084,0.9,0.9,0.144,0.227513,0.9,0.9,0.9,1,1,1,0.237,0.237
61,0.9,0.9,0.068,0.083,0.9,0.9,0.178,0.9,0.9,0.183,0.194784,0.9,0.9,0.9,1,1,1,0.261,0.261
62,0.9,0.9,0.063,0.1,0.9,0.9,0.144,0.9,0.9,0.124,0.124779,0.9,0.9,0.9,1,1,1,0.24,0.24
63,0.9,0.9,0.036,0.112,0.9,0.9,0.117,0.9,0.9,0.072,0.055251,0.9,0.9,0.9,1,1,1,0.177,0.177
64,0.9,0.9,0.015,0.073,0.9,0.9,0.062,0.9,0.9,0.024,0.021881,0.9,0.9,0.9,1,1,1,0.18,0.18
65,0.9,0.9,0.002,0.067,0.9,0.9,0.006,0.9,0.9,0.029,0.001195,0.9,0.9,0.9,1,1,1,0.205,0.205
66,0.9,0.9,0,0.056,0.9,0.9,0,0.9,0.9,0.005,0,0.9,0.9,0.9,1,1,1,0.221,0.221
67,0.9,0.9,0,0.068,0.9,0.9,0,0.9,0.9,0,0,0.9,0.9,0.9,1,1,1,0.149,0.149
68,0.9,0.9,0,0.06,0.9,0.9,0,0.9,0.9,0,0,0.9,0.9,0.9,1,1,1,0.182,0.182
69,0.9,0.9,0,0.101,0.9,0.9,0,0.9,0.9,0,0,0.9,0.9,0.9,1,1,1,0.283,0.283
70,0.9,0.9,0,0.121,0.9,0.9,0,0.9,0.9,0.003,0,0.9,0.9,0.9,1,1,1,0.388,0.388
71,0.9,0.9,0,0.17,0.9,0.9,0,0.9,0.9,0.029,0,0.9,0.9,0.9,1,1,1,0.636,0.636
72,0.9,0.9,0,0.248,0.9,0.9,0,0.9,0.9,0.06,0,0.9,0.9,0.9,1,1,1,0.724,0.724
73,0.9,0.9,0,0.279,0.9,0.9,0,0.9,0.9,0.065,0,0.9,0.9,0.9,1,1,1,0.687,0.687
74,0.9,0.9,0,0.183,0.9,0.9,0,0.9,0.9,0.055,0,0.9,0.9,0.9,1,1,1,0.699,0.699
75,0.9,0.9,0,0.112,0.9,0.9,0,0.9,0.9,0.059,0,0.9,0.9,0.9,1,1,1,0.7,0.7
76,0.9,0.9,0,0.119,0.9,0.9,0,0.9,0.9,0.036,0,0.9,0.9,0.9,1,1,1,0.683,0.683
77,0.9,0.9,0,0.128,0.9,0.9,0,0.9,0.9,0.069,0,0.9,0.9,0.9,1,1,1,0.666,0.666
78,0.9,0.9,0,0.102,0.9,0.9,0,0.9,0.9,0.107,0,0.9,0.9,0.9,1,1,1,0.74,0.74
79,0.9,0.9,0,0.132,0.9,0.9,0,0.9,0.9,0.099,0,0.9,0.9,0.9,1,1,1,0.692,0.692
80,0.9,0.9,0.006,0.094,0.9,0.9,0.006,0.9,0.9,0.1,0.003989,0.9,0.9,0.9,1,1,1,0.735,0.735
81,0.9,0.9,0.057,0.105,0.9,0.9,0.049,0.9,0.9,0.105,0.045819,0.9,0.9,0.9,1,1,1,0.754,0.754
82,0.9,0.9,0.113,0.102,0.9,0.9,0.059,0.9,0.9,0.094,0.097352,0.9,0.9,0.9,1,1,1,0.784,0.784
83,0.9,0.9,0.175,0.147,0.9,0.9,0.108,0.9,0.9,0.083,0.116785,0.9,0.9,0.9,1,1,1,0.889,0.889
84,0.9,0.9,0.189,0.136,0.9,0.9,0.281,0.9,0.9,0.089,0.117429,0.9,0.9,0.9,1,1,1,0.963,0.963
85,0.9,0.9,0.238,0.165,0.9,0.9,0.363,0.9,0.9,0.104,0.156084,0.9,0.9,0.9,1,1,1,0.989,0.989
86,0.9,0.9,0.246,0.185,0.9,0.9,0.308,0.9,0.9,0.093,0.188213,0.9,0.9,0.9,1,1,1,0.992,0.992
87,0.9,0.9,0.196,0.121,0.9,0.9,0.228,0.9,0.9,0.066,0.17045,0.9,0.9,0.9,1,1,1,0.988,0.988
88,0.9,0.9,0.08,0.135,0.9,0.9,0.092,0.9,0.9,0.068,0.047639,0.9,0.9,0.9,1,1,1,0.987,0.987
89,0.9,0.9,0.004,0.114,0.9,0.9,0.008,0.9,0.9,0.078,0.001798,0.9,0.9,0.9,1,1,1,0.989,0.989
90,0.9,0.9,0,0.14,0.9,0.9,0,0.9,0.9,0.095,0,0.9,0.9,0.9,1,1,1,0.992,0.992
91,0.9,0.9,0,0.197,0.9,0.9,0,0.9,0.9,0.093,0,0.9,0.9,0.9,1,1,1,0.99,0.99
92,0.9,0.9,0,0.167,0.9,0.9,0,0.9,0.9,0.101,0,0.9,0.9,0.9,1,1,1,0.989,0.989
93,0.9,0.9,0,0.238,0.9,0.9,0,0.9,0.9,0.125,0,0.9,0.9,0.9,1,1,1,0.99,0.99
94,0.9,0.9,0,0.272,0.9,0.9,0,0.9,0.9,0.187,0,0.9,0.9,0.9,1,1,1,0.986,0.986
95,0.9,0.9,0,0.305,0.9,0.9,0,0.9,0.9,0.238,0,0.9,0.9,0.9,1,1,1,0.984,0.984
96,0.9,0.9,0,0.245,0.9,0.9,0,0.9,0.9,0.275,0,0.9,0.9,0.9,1,1,1,0.964,0.964
97,0.9,0.9,0,0.255,0.9,0.9,0,0.9,0.9,0.286,0,0.9,0.9,0.9,1,1,1,0.951,0.951
98,0.9,0.9,0,0.144,0.9,0.9,0,0.9,0.9,0.271,0,0.9,0.9,0.9,1,1,1,0.937,0.937
99,0.9,0.9,0,0.073,0.9,0.9,0,0.9,0.9,0.256,0,0.9,0.9,0.9,1,1,1,0.927,0.927
100,0.9,0.9,0,0.077,0.9,0.9,0,0.9,0.9,0.235,0,0.9,0.9,0.9,1,1,1,0.952,0.952
101,0.9,0.9,0,0.101,0.9,0.9,0,0.9,0.9,0.272,0,0.9,0.9,0.9,1,1,1,0.974,0.974
102,0.9,0.9,0,0.077,0.9,0.9,0,0.9,0.9,0.298,0,0.9,0.9,0.9,1,1,1,0.979,0.979
103,0.9,0.9,0,0.07,0.9,0.9,0,0.9,0.9,0.334,0,0.9,0.9,0.9,1,1,1,0.976,0.976
104,0.9,0.9,0.005,0.061,0.9,0.9,0.007,0.9,0.9,0.327,0.000798,0.9,0.9,0.9,1,1,1,0.987,0.987
105,0.9,0.9,0.046,0.06,0.9,0.9,0.079,0.9,0.9,0.338,0.022929,0.9,0.9,0.9,1,1,1,0.96,0.96
106,0.9,0.9,0.104,0.056,0.9,0.9,0.212,0.9,0.9,0.389,0.085236,0.9,0.9,0.9,1,1,1,0.971,0.971
107,0.9,0.9,0.184,0.09,0.9,0.9,0.31,0.9,0.9,0.411,0.112156,0.9,0.9,0.9,1,1,1,0.98,0.98
108,0.9,0.9,0.199,0.081,0.9,0.9,0.35,0.9,0.9,0.309,0.123067,0.9,0.9,0.9,1,1,1,0.962,0.962
109,0.9,0.9,0.157,0.071,0.9,0.9,0.342,0.9,0.9,0.262,0.105109,0.9,0.9,0.9,1,1,1,0.974,0.974
110,0.9,0.9,0.109,0.122,0.9,0.9,0.256,0.9,0.9,0.304,0.058622,0.9,0.9,0.9,1,1,1,0.969,0.969
111,0.9,0.9,0.054,0.088,0.9,0.9,0.172,0.9,0.9,0.297,0.046445,0.9,0.9,0.9,1,1,1,0.938,0.938
112,0.9,0.9,0.023,0.064,0.9,0.9,0.076,0.9,0.9,0.394,0.020827,0.9,0.9,0.9,1,1,1,0.934,0.934
113,0.9,0.9,0.002,0.097,0.9,0.9,0.011,0.9,0.9,0.354,0.00179,0.9,0.9,0.9,1,1,1,0.897,0.897
114,0.9,0.9,0,0.14,0.9,0.9,0,0.9,0.9,0.324,0,0.9,0.9,0.9,1,1,1,0.891,0.891
115,0.9,0.9,0,0.169,0.9,0.9,0,0.9,0.9,0.216,0,0.9,0.9,0.9,1,1,1,0.891,0.891
116,0.9,0.9,0,0.094,0.9,0.9,0,0.9,0.9,0.248,0,0.9,0.9,0.9,1,1,1,0.934,0.934
117,0.9,0.9,0,0.061,0.9,0.9,0,0.9,0.9,0.266,0,0.9,0.9,0.9,1,1,1,0.957,0.957
118,0.9,0.9,0,0.083,0.9,0.9,0,0.9,0.9,0.195,0,0.9,0.9,0.9,1,1,1,0.929,0.929
119,0.9,0.9,0,0.101,0.9,0.9,0,0.9,0.9,0.274,0,0.9,0.9,0.9,1,1,1,0.96,0.96
120,0.9,0.9,0,0.096,0.9,0.9,0,0.9,0.9,0.307,0,0.9,0.9,0.9,1,1,1,0.938,0.938
121,0.9,0.9,0,0.095,0.9,0.9,0,0.9,0.9,0.306,0,0.9,0.9,0.9,1,1,1,0.938,0.938
122,0.9,0.9,0,0.129,0.9,0.9,0,0.9,0.9,0.326,0,0.9,0.9,0.9,1,1,1,0.907,0.907
123,0.9,0.9,0,0.109,0.9,0.9,0,0.9,0.9,0.356,0,0.9,0.9,0.9,1,1,1,0.982,0.982
124,0.9,0.9,0,0.109,0.9,0.9,0,0.9,0.9,0.39,0,0.9,0.9,0.9,1,1,1,0.936,0.936
125,0.9,0.9,0,0.13,0.9,0.9,0,0.9,0.9,0.394,0,0.9,0.9,0.9,1,1,1,0.945,0.945
126,0.9,0.9,0,0.149,0.9,0.9,0,0.9,0.9,0.407,0,0.9,0.9,0.9,1,1,1,0.957,0.957
127,0.9,0.9,0,0.208,0.9,0.9,0,0.9,0.9,0.389,0,0.9,0.9,0.9,1,1,1,0.953,0.953
128,0.9,0.9,0.008,0.169,0.9,0.9,0.007,0.9,0.9,0.508,0.000802,0.9,0.9,0.9,1,1,1,0.976,0.976
129,0.9,0.9,0.093,0.164,0.9,0.9,0.077,0.9,0.9,0.676,0.028196,0.9,0.9,0.9,1,1,1,0.963,0.963
130,0.9,0.9,0.227,0.231,0.9,0.9,0.206,0.9,0.9,0.677,0.042823,0.9,0.9,0.9,1,1,1,0.977,0.977
131,0.9,0.9,0.345,0.285,0.9,0.9,0.339,0.9,0.9,0.566,0.12191,0.9,0.9,0.9,1,1,1,0.984,0.984
132,0.9,0.9,0.366,0.26,0.9,0.9,0.381,0.9,0.9,0.554,0.173331,0.9,0.9,0.9,1,1,1,0.989,0.989
133,0.9,0.9,0.336,0.327,0.9,0.9,0.41,0.9,0.9,0.718,0.206794,0.9,0.9,0.9,1,1,1,0.99,0.99
134,0.9,0.9,0.228,0.451,0.9,0.9,0.257,0.9,0.9,0.754,0.160068,0.9,0.9,0.9,1,1,1,0.991,0.991
135,0.9,0.9,0.152,0.504,0.9,0.9,0.157,0.9,0.9,0.704,0.083199,0.9,0.9,0.9,1,1,1,0.99,0.99
136,0.9,0.9,0.057,0.57,0.9,0.9,0.067,0.9,0.9,0.712,0.040766,0.9,0.9,0.9,1,1,1,0.984,0.984
137,0.9,0.9,0.003,0.447,0.9,0.9,0.009,0.9,0.9,0.549,0.002592,0.9,0.9,0.9,1,1,1,0.971,0.971
138,0.9,0.9,0,0.461,0.9,0.9,0,0.9,0.9,0.483,0,0.9,0.9,0.9,1,1,1,0.906,0.906
139,0.9,0.9,0,0.349,0.9,0.9,0,0.9,0.9,0.589,0,0.9,0.9,0.9,1,1,1,0.892,0.892
140,0.9,0.9,0,0.254,0.9,0.9,0,0.9,0.9,0.782,0,0.9,0.9,0.9,1,1,1,0.853,0.853
141,0.9,0.9,0,0.453,0.9,0.9,0,0.9,0.9,0.722,0,0.9,0.9,0.9,1,1,1,0.818,0.818
142,0.9,0.9,0,0.367,0.9,0.9,0,0.9,0.9,0.671,0,0.9,0.9,0.9,1,1,1,0.759,0.759
143,0.9,0.9,0,0.335,0.9,0.9,0,0.9,0.9,0.591,0,0.9,0.9,0.9,1,1,1,0.796,0.796
144,0.9,0.9,0,0.526,0.9,0.9,0,0.9,0.9,0.452,0,0.9,0.9,0.9,1,1,1,0.869,0.869
145,0.9,0.9,0,0.404,0.9,0.9,0,0.9,0.9,0.522,0,0.9,0.9,0.9,1,1,1,0.944,0.944
146,0.9,0.9,0,0.548,0.9,0.9,0,0.9,0.9,0.612,0,0.9,0.9,0.9,1,1,1,0.957,0.957
147,0.9,0.9,0,0.534,0.9,0.9,0,0.9,0.9,0.794,0,0.9,0.9,0.9,1,1,1,0.974,0.974
148,0.9,0.9,0,0.551,0.9,0.9,0,0.9,0.9,0.771,0,0.9,0.9,0.9,1,1,1,0.902,0.902
149,0.9,0.9,0,0.463,0.9,0.9,0,0.9,0.9,0.848,0,0.9,0.9,0.9,1,1,1,0.889,0.889
150,0.9,0.9,0,0.469,0.9,0.9,0,0.9,0.9,0.835,0,0.9,0.9,0.9,1,1,1,0.945,0.945
151,0.9,0.9,0,0.535,0.9,0.9,0,0.9,0.9,0.587,0,0.9,0.9,0.9,1,1,1,0.927,0.927
152,0.9,0.9,0.011,0.544,0.9,0.9,0.01,0.9,0.9,0.357,0.007557,0.9,0.9,0.9,1,1,1,0.952,0.952
153,0.9,0.9,0.12,0.551,0.9,0.9,0.093,0.9,0.9,0.422,0.08981,0.9,0.9,0.9,1,1,1,0.887,0.887
154,0.9,0.9,0.286,0.537,0.9,0.9,0.272,0.9,0.9,0.584,0.294798,0.9,0.9,0.9,1,1,1,0.901,0.901
155,0.9,0.9,0.423,0.503,0.9,0.9,0.349,0.9,0.9,0.524,0.37835,0.9,0.9,0.9,1,1,1,0.931,0.931
156,0.9,0.9,0.532,0.362,0.9,0.9,0.373,0.9,0.9,0.521,0.435748,0.9,0.9,0.9,1,1,1,0.932,0.932
157,0.9,0.9,0.505,0.475,0.9,0.9,0.417,0.9,0.9,0.6,0.434912,0.9,0.9,0.9,1,1,1,0.915,0.915
158,0.9,0.9,0.422,0.559,0.9,0.9,0.435,0.9,0.9,0.622,0.364974,0.9,0.9,0.9,1,1,1,0.902,0.902
159,0.9,0.9,0.266,0.562,0.9,0.9,0.309,0.9,0.9,0.703,0.234114,0.9,0.9,0.9,1,1,1,0.876,0.876
160,0.9,0.9,0.096,0.434,0.9,0.9,0.13,0.9,0.9,0.662,0.044393,0.9,0.9,0.9,1,1,1,0.915,0.915
161,0.9,0.9,0.004,0.343,0.9,0.9,0.011,0.9,0.9,0.668,0.000997,0.9,0.9,0.9,1,1,1,0.888,0.888
162,0.9,0.9,0,0.333,0.9,0.9,0,0.9,0.9,0.548,0,0.9,0.9,0.9,1,1,1,0.826,0.826
163,0.9,0.9,0,0.251,0.9,0.9,0,0.9,0.9,0.582,0,0.9,0.9,0.9,1,1,1,0.781,0.781
164,0.9,0.9,0,0.219,0.9,0.9,0,0.9,0.9,0.465,0,0.9,0.9,0.9,1,1,1,0.787,0.787
165,0.9,0.9,0,0.233,0.9,0.9,0,0.9,0.9,0.339,0,0.9,0.9,0.9,1,1,1,0.713,0.713
166,0.9,0.9,0,0.275,0.9,0.9,0,0.9,0.9,0.333,0,0.9,0.9,0.9,1,1,1,0.743,0.743
167,0.9,0.9,0,0.331,0.9,0.9,0,0.9,0.9,0.355,0,0.9,0.9,0.9,1,1,1,0.744,0.744
168,0.9,0.9,0,0.257,0.9,0.9,0,0.9,0.9,0.347,0,0.9,0.9,0.9,1,1,1,0.731,0.731
169,0.9,0.9,0,0.172,0.9,0.9,0,0.9,0.9,0.466,0,0.9,0.9,0.9,1,1,1,0.86,0.86
170,0.9,0.9,0,0.211,0.9,0.9,0,0.9,0.9,0.521,0,0.9,0.9,0.9,1,1,1,0.92,0.92
171,0.9,0.9,0,0.179,0.9,0.9,0,0.9,0.9,0.443,0,0.9,0.9,0.9,1,1,1,0.885,0.885
172,0.9,0.9,0,0.181,0.9,0.9,0,0.9,0.9,0.614,0,0.9,0.9,0.9,1,1,1,0.798,0.798
173,0.9,0.9,0,0.18,0.9,0.9,0,0.9,0.9,0.555,0,0.9,0.9,0.9,1,1,1,0.81,0.81
174,0.9,0.9,0,0.239,0.9,0.9,0,0.9,0.9,0.673,0,0.9,0.9,0.9,1,1,1,0.784,0.784
175,0.9,0.9,0,0.293,0.9,0.9,0,0.9,0.9,0.695,0,0.9,0.9,0.9,1,1,1,0.755,0.755
176,0.9,0.9,0.012,0.413,0.9,0.9,0.008,0.9,0.9,0.675,0.009205,0.9,0.9,0.9,1,1,1,0.681,0.681
177,0.9,0.9,0.149,0.256,0.9,0.9,0.113,0.9,0.9,0.669,0.143932,0.9,0.9,0.9,1,1,1,0.691,0.691
178,0.9,0.9,0.353,0.392,0.9,0.9,0.259,0.9,0.9,0.63,0.339806,0.9,0.9,0.9,1,1,1,0.699,0.699
179,0.9,0.9,0.523,0.396,0.9,0.9,0.363,0.9,0.9,0.512,0.533398,0.9,0.9,0.9,1,1,1,0.624,0.624
180,0.9,0.9,0.534,0.416,0.9,0.9,0.434,0.9,0.9,0.498,0.588361,0.9,0.9,0.9,1,1,1,0.568,0.568
181,0.9,0.9,0.501,0.309,0.9,0.9,0.469,0.9,0.9,0.531,0.562403,0.9,0.9,0.9,1,1,1,0.402,0.402
182,0.9,0.9,0.427,0.241,0.9,0.9,0.42,0.9,0.9,0.509,0.471346,0.9,0.9,0.9,1,1,1,0.402,0.402
183,0.9,0.9,0.281,0.135,0.9,0.9,0.226,0.9,0.9,0.512,0.266309,0.9,0.9,0.9,1,1,1,0.383,0.383
184,0.9,0.9,0.1,0.117,0.9,0.9,0.09,0.9,0.9,0.54,0.077547,0.9,0.9,0.9,1,1,1,0.325,0.325
185,0.9,0.9,0.006,0.056,0.9,0.9,0.008,0.9,0.9,0.408,0.001398,0.9,0.9,0.9,1,1,1,0.302,0.302
186,0.9,0.9,0,0.05,0.9,0.9,0,0.9,0.9,0.371,0,0.9,0.9,0.9,1,1,1,0.228,0.228
187,0.9,0.9,0,0.059,0.9,0.9,0,0.9,0.9,0.369,0,0.9,0.9,0.9,1,1,1,0.111,0.111
188,0.9,0.9,0,0.14,0.9,0.9,0,0.9,0.9,0.414,0,0.9,0.9,0.9,1,1,1,0.116,0.116
189,0.9,0.9,0,0.113,0.9,0.9,0,0.9,0.9,0.307,0,0.9,0.9,0.9,1,1,1,0.101,0.101
190,0.9,0.9,0,0.083,0.9,0.9,0,0.9,0.9,0.239,0,0.9,0.9,0.9,1,1,1,0.154,0.154
191,0.9,0.9,0,0.311,0.9,0.9,0,0.9,0.9,0.221,0,0.9,0.9,0.9,1,1,1,0.315,0.315
192,0.9,0.9,0,0.326,0.9,0.9,0,0.9,0.9,0.128,0,0.9,0.9,0.9,1,1,1,0.42,0.42
193,0.9,0.9,0,0.333,0.9,0.9,0,0.9,0.9,0.129,0,0.9,0.9,0.9,1,1,1,0.512,0.512
194,0.9,0.9,0,0.455,0.9,0.9,0,0.9,0.9,0.19,0,0.9,0.9,0.9,1,1,1,0.627,0.627
195,0.9,0.9,0,0.422,0.9,0.9,0,0.9,0.9,0.278,0,0.9,0.9,0.9,1,1,1,0.681,0.681
196,0.9,0.9,0,0.393,0.9,0.9,0,0.9,0.9,0.239,0,0.9,0.9,0.9,1,1,1,0.734,0.734
197,0.9,0.9,0,0.337,0.9,0.9,0,0.9,0.9,0.231,0,0.9,0.9,0.9,1,1,1,0.718,0.718
198,0.9,0.9,0,0.576,0.9,0.9,0,0.9,0.9,0.224,0,0.9,0.9,0.9,1,1,1,0.752,0.752
