Time_Index,None,MIDAT_reference_naturalgas,NE_reference_naturalgas,NE_reference_uranium,SE_reference_naturalgas,SE_reference_uranium,MIDAT_reference_uranium
61,0,3.58,4.4,0.73,3.68,0.73,0.73
62,0,3.58,4.4,0.73,3.68,0.73,0.73
63,0,3.58,4.4,0.73,3.68,0.73,0.73
64,0,3.58,4.4,0.73,3.68,0.73,0.73
65,0,3.58,4.4,0.73,3.68,0.73,0.73
66,0,3.58,4.4,0.73,3.68,0.73,0.73
67,0,3.58,4.4,0.73,3.68,0.73,0.73
68,0,3.58,4.4,0.73,3.68,0.73,0.73
69,0,3.58,4.4,0.73,3.68,0.73,0.73
70,0,3.58,4.4,0.73,3.68,0.73,0.73
71,0,3.58,4.4,0.73,3.68,0.73,0.73
72,0,3.58,4.4,0.73,3.68,0.73,0.73
73,0,3.58,4.4,0.73,3.68,0.73,0.73
74,0,3.58,4.4,0.73,3.68,0.73,0.73
75,0,3.58,4.4,0.73,3.68,0.73,0.73
76,0,3.58,4.4,0.73,3.68,0.73,0.73
77,0,3.58,4.4,0.73,3.68,0.73,0.73
78,0,3.58,4.4,0.73,3.68,0.73,0.73
79,0,3.58,4.4,0.73,3.68,0.73,0.73
80,0,3.58,4.4,0.73,3.68,0.73,0.73
81,0,3.58,4.4,0.73,3.68,0.73,0.73
82,0,3.58,4.4,0.73,3.68,0.73,0.73
83,0,3.58,4.4,0.73,3.68,0.73,0.73
84,0,3.58,4.4,0.73,3.68,0.73,0.73
85,0,3.58,4.4,0.73,3.68,0.73,0.73
86,0,3.58,4.4,0.73,3.68,0.73,0.73
87,0,3.58,4.4,0.73,3.68,0.73,0.73
88,0,3.58,4.4,0.73,3.68,0.73,0.73
89,0,3.58,4.4,0.73,3.68,0.73,0.73
90,0,3.58,4.4,0.73,3.68,0.73,0.73
91,0,3.58,4.4,0.73,3.68,0.73,0.73
92,0,3.58,4.4,0.73,3.68,0.73,0.73
93,0,3.58,4.4,0.73,3.68,0.73,0.73
94,0,3.58,4.4,0.73,3.68,0.73,0.73
95,0,3.58,4.4,0.73,3.68,0.73,0.73
96,0,3.58,4.4,0.73,3.68,0.73,0.73
97,0,3.58,4.4,0.73,3.68,0.73,0.73
98,0,3.58,4.4,0.73,3.68,0.73,0.73
99,0,3.58,4.4,0.73,3.68,0.73,0.73
100,0,3.58,4.4,0.73,3.68,0.73,0.73
101,0,3.58,4.4,0.73,3.68,0.73,0.73
102,0,3.58,4.4,0.73,3.68,0.73,0.73
103,0,3.58,4.4,0.73,3.68,0.73,0.73
104,0,3.58,4.4,0.73,3.68,0.73,0.73
105,0,3.58,4.4,0.73,3.68,0.73,0.73
106,0,3.58,4.4,0.73,3.68,0.73,0.73
107,0,3.58,4.4,0.73,3.68,0.73,0.73
108,0,3.58,4.4,0.73,3.68,0.73,0.73
109,0,3.58,4.4,0.73,3.68,0.73,0.73
110,0,3.58,4.4,0.73,3.68,0.73,0.73
111,0,3.58,4.4,0.73,3.68,0.73,0.73
112,0,3.58,4.4,0.73,3.68,0.73,0.73
113,0,3.58,4.4,0.73,3.68,0.73,0.73
114,0,3.58,4.4,0.73,3.68,0.73,0.73
115,0,3.58,4.4,0.73,3.68,0.73,0.73
116,0,3.58,4.4,0.73,3.68,0.73,0.73
117,0,3.58,4.4,0.73,3.68,0.73,0.73
118,0,3.58,4.4,0.73,3.68,0.73,0.73
119,0,3.58,4.4,0.73,3.68,0.73,0.73
120,0,3.58,4.4,0.73,3.68,0.73,0.73
121,0,3.58,4.4,0.73,3.68,0.73,0.73
122,0,3.58,4.4,0.73,3.68,0.73,0.73
123,0,3.58,4.4,0.73,3.68,0.73,0.73
124,0,3.58,4.4,0.73,3.68,0.73,0.73
125,0,3.58,4.4,0.73,3.68,0.73,0.73
126,0,3.58,4.4,0.73,3.68,0.73,0.73
127,0,3.58,4.4,0.73,3.68,0.73,0.73
128,0,3.58,4.4,0.73,3.68,0.73,0.73
129,0,3.58,4.4,0.73,3.68,0.73,0.73
130,0,3.58,4.4,0.73,3.68,0.73,0.73
131,0,3.58,4.4,0.73,3.68,0.73,0.73
132,0,3.58,4.4,0.73,3.68,0.73,0.73
133,0,3.58,4.4,0.73,3.68,0.73,0.73
134,0,3.58,4.4,0.73,3.68,0.73,0.73
135,0,3.58,4.4,0.73,3.68,0.73,0.73
136,0,3.58,4.4,0.73,3.68,0.73,0.73
137,0,3.58,4.4,0.73,3.68,0.73,0.73
138,0,3.58,4.4,0.73,3.68,0.73,0.73
139,0,3.58,4.4,0.73,3.68,0.73,0.73
140,0,3.58,4.4,0.73,3.68,0.73,0.73
141,0,3.58,4.4,0.73,3.68,0.73,0.73
142,0,3.58,4.4,0.73,3.68,0.73,0.73
143,0,3.58,4.4,0.73,3.68,0.73,0.73
144,0,3.58,4.4,0.73,3.68,0.73,0.73
145,0,3.58,4.4,0.73,3.68,0.73,0.73
146,0,3.58,4.4,0.73,3.68,0.73,0.73
147,0,3.58,4.4,0.73,3.68,0.73,0.73
148,0,3.58,4.4,0.73,3.68,0.73,0.73
149,0,3.58,4.4,0.73,3.68,0.73,0.73
150,0,3.58,4.4,0.73,3.68,0.73,0.73
151,0,3.58,4.4,0.73,3.68,0.73,0.73
152,0,3.58,4.4,0.73,3.68,0.73,0.73
153,0,3.58,4.4,0.73,3.68,0.73,0.73
154,0,3.58,4.4,0.73,3.68,0.73,0.73
155,0,3.58,4.4,0.73,3.68,0.73,0.73
156,0,3.58,4.4,0.73,3.68,0.73,0.73
157,0,3.58,4.4,0.73,3.68,0.73,0.73
158,0,3.58,4.4,0.73,3.68,0.73,0.73
159,0,3.58,4.4,0.73,3.68,0.73,0.73
160,0,3.58,4.4,0.73,3.68,0.73,0.73
161,0,3.58,4.4,0.73,3.68,0.73,0.73
162,0,3.58,4.4,0.73,3.68,0.73,0.73
163,0,3.58,4.4,0.73,3.68,0.73,0.73
164,0,3.58,4.4,0.73,3.68,0.73,0.73
165,0,3.58,4.4,0.73,3.68,0.73,0.73
166,0,3.58,4.4,0.73,3.68,0.73,0.73
167,0,3.58,4.4,0.73,3.68,0.73,0.73
168,0,3.58,4.4,0.73,3.68,0.73,0.73
169,0,3.58,4.4,0.73,3.68,0.73,0.73
170,0,3.58,4.4,0.73,3.68,0.73,0.73
171,0,3.58,4.4,0.73,3.68,0.73,0.73
172,0,3.58,4.4,0.73,3.68,0.73,0.73
173,0,3.58,4.4,0.73,3.68,0.73,0.73
174,0,3.58,4.4,0.73,3.68,0.73,0.73
175,0,3.58,4.4,0.73,3.68,0.73,0.73
176,0,3.58,4.4,0.73,3.68,0.73,0.73
177,0,3.58,4.4,0.73,3.68,0.73,0.73
178,0,3.58,4.4,0.73,3.68,0.73,0.73
179,0,3.58,4.4,0.73,3.68,0.73,0.73
180,0,3.58,4.4,0.73,3.68,0.73,0.73
181,0,3.58,4.4,0.73,3.68,0.73,0.73
182,0,3.58,4.4,0.73,3.68,0.73,0.73
183,0,3.58,4.4,0.73,3.68,0.73,0.73
184,0,3.58,4.4,0.73,3.68,0.73,0.73
185,0,3.58,4.4,0.73,3.68,0.73,0.73
186,0,3.58,4.4,0.73,3.68,0.73,0.73
187,0,3.58,4.4,0.73,3.68,0.73,0.73
188,0,3.58,4.4,0.73,3.68,0.73,0.73
189,0,3.58,4.4,0.73,3.68,0.73,0.73
190,0,3.58,4.4,0.73,3.68,0.73,0.73
191,0,3.58,4.4,0.73,3.68,0.73,0.73
192,0,3.58,4.4,0.73,3.68,0.73,0.73
193,0,3.58,4.4,0.73,3.68,0.73,0.73
194,0,3.58,4.4,0.73,3.68,0.73,0.73
195,0,3.58,4.4,0.73,3.68,0.73,0.73
196,0,3.58,4.4,0.73,3.68,0.73,0.73
197,0,3.58,4.4,0.73,3.68,0.73,0.73
198,0,3.58,4.4,0.73,3.68,0.73,0.73
199,0,3.58,4.4,0.73,3.68,0.73,0.73
200,0,3.58,4.4,0.73,3.68,0.73,0.73
201,0,3.58,4.4,0.73,3.68,0.73,0.73
202,0,3.58,4.4,0.73,3.68,0.73,0.73
203,0,3.58,4.4,0.73,3.68,0.73,0.73
204,0,3.58,4.4,0.73,3.68,0.73,0.73
205,0,3.58,4.4,0.73,3.68,0.73,0.73
206,0,3.58,4.4,0.73,3.68,0.73,0.73
207,0,3.58,4.4,0.73,3.68,0.73,0.73
208,0,3.58,4.4,0.73,3.68,0.73,0.73
209,0,3.58,4.4,0.73,3.68,0.73,0.73
210,0,3.58,4.4,0.73,3.68,0.73,0.73
211,0,3.58,4.4,0.73,3.68,0.73,0.73
212,0,3.58,4.4,0.73,3.68,0.73,0.73
213,0,3.58,4.4,0.73,3.68,0.73,0.73
214,0,3.58,4.4,0.73,3.68,0.73,0.73
215,0,3.58,4.4,0.73,3.68,0.73,0.73
216,0,3.58,4.4,0.73,3.68,0.73,0.73
217,0,3.58,4.4,0.73,3.68,0.73,0.73
218,0,3.58,4.4,0.73,3.68,0.73,0.73
219,0,3.58,4.4,0.73,3.68,0.73,0.73
220,0,3.58,4.4,0.73,3.68,0.73,0.73
221,0,3.58,4.4,0.73,3.68,0.73,0.73
222,0,3.58,4.4,0.73,3.68,0.73,0.73
223,0,3.58,4.4,0.73,3.68,0.73,0.73
224,0,3.58,4.4,0.73,3.68,0.73,0.73
225,0,3.58,4.4,0.73,3.68,0.73,0.73
226,0,3.58,4.4,0.73,3.68,0.73,0.73
227,0,3.58,4.4,0.73,3.68,0.73,0.73
228,0,3.58,4.4,0.73,3.68,0.73,0.73
229,0,3.58,4.4,0.73,3.68,0.73,0.73
230,0,3.58,4.4,0.73,3.68,0.73,0.73
231,0,3.58,4.4,0.73,3.68,0.73,0.73
232,0,3.58,4.4,0.73,3.68,0.73,0.73
233,0,3.58,4.4,0.73,3.68,0.73,0.73
234,0,3.58,4.4,0.73,3.68,0.73,0.73
235,0,3.58,4.4,0.73,3.68,0.73,0.73
236,0,3.58,4.4,0.73,3.68,0.73,0.73
237,0,3.58,4.4,0.73,3.68,0.73,0.73
238,0,3.58,4.4,0.73,3.68,0.73,0.73
239,0,3.58,4.4,0.73,3.68,0.73,0.73
240,0,3.58,4.4,0.73,3.68,0.73,0.73
241,0,3.58,4.4,0.73,3.68,0.73,0.73
242,0,3.58,4.4,0.73,3.68,0.73,0.73
243,0,3.58,4.4,0.73,3.68,0.73,0.73
244,0,3.58,4.4,0.73,3.68,0.73,0.73
245,0,3.58,4.4,0.73,3.68,0.73,0.73
246,0,3.58,4.4,0.73,3.68,0.73,0.73
247,0,3.58,4.4,0.73,3.68,0.73,0.73
248,0,3.58,4.4,0.73,3.68,0.73,0.73
249,0,3.58,4.4,0.73,3.68,0.73,0.73
250,0,3.58,4.4,0.73,3.68,0.73,0.73
251,0,3.58,4.4,0.73,3.68,0.73,0.73
252,0,3.58,4.4,0.73,3.68,0.73,0.73
253,0,3.58,4.4,0.73,3.68,0.73,0.73
254,0,3.58,4.4,0.73,3.68,0.73,0.73
255,0,3.58,4.4,0.73,3.68,0.73,0.73
256,0,3.58,4.4,0.73,3.68,0.73,0.73
257,0,3.58,4.4,0.73,3.68,0.73,0.73
258,0,3.58,4.4,0.73,3.68,0.73,0.73
259,0,3.58,4.4,0.73,3.68,0.73,0.73
260,0,3.58,4.4,0.73,3.68,0.73,0.73
261,0,3.58,4.4,0.73,3.68,0.73,0.73
262,0,3.58,4.4,0.73,3.68,0.73,0.73
263,0,3.58,4.4,0.73,3.68,0.73,0.73
264,0,3.58,4.4,0.73,3.68,0.73,0.73
265,0,3.58,4.4,0.73,3.68,0.73,0.73
266,0,3.58,4.4,0.73,3.68,0.73,0.73
267,0,3.58,4.4,0.73,3.68,0.73,0.73
268,0,3.58,4.4,0.73,3.68,0.73,0.73
269,0,3.58,4.4,0.73,3.68,0.73,0.73
270,0,3.58,4.4,0.73,3.68,0.73,0.73
271,0,3.58,4.4,0.73,3.68,0.73,0.73
272,0,3.58,4.4,0.73,3.68,0.73,0.73
273,0,3.58,4.4,0.73,3.68,0.73,0.73
274,0,3.58,4.4,0.73,3.68,0.73,0.73
275,0,3.58,4.4,0.73,3.68,0.73,0.73
276,0,3.58,4.4,0.73,3.68,0.73,0.73
277,0,3.58,4.4,0.73,3.68,0.73,0.73
278,0,3.58,4.4,0.73,3.68,0.73,0.73
279,0,3.58,4.4,0.73,3.68,0.73,0.73
280,0,3.58,4.4,0.73,3.68,0.73,0.73
281,0,3.58,4.4,0.73,3.68,0.73,0.73
282,0,3.58,4.4,0.73,3.68,0.73,0.73
283,0,3.58,4.4,0.73,3.68,0.73,0.73
284,0,3.58,4.4,0.73,3.68,0.73,0.73
285,0,3.58,4.4,0.73,3.68,0.73,0.73
286,0,3.58,4.4,0.73,3.68,0.73,0.73
287,0,3.58,4.4,0.73,3.68,0.73,0.73
288,0,3.58,4.4,0.73,3.68,0.73,0.73
289,0,3.58,4.4,0.73,3.68,0.73,0.73
290,0,3.58,4.4,0.73,3.68,0.73,0.73
291,0,3.58,4.4,0.73,3.68,0.73,0.73
292,0,3.58,4.4,0.73,3.68,0.73,0.73
293,0,3.58,4.4,0.73,3.68,0.73,0.73
294,0,3.58,4.4,0.73,3.68,0.73,0.73
295,0,3.58,4.4,0.73,3.68,0.73,0.73
296,0,3.58,4.4,0.73,3.68,0.73,0.73
297,0,3.58,4.4,0.73,3.68,0.73,0.73
298,0,3.58,4.4,0.73,3.68,0.73,0.73
299,0,3.58,4.4,0.73,3.68,0.73,0.73
300,0,3.58,4.4,0.73,3.68,0.73,0.73
301,0,3.58,4.4,0.73,3.68,0.73,0.73
302,0,3.58,4.4,0.73,3.68,0.73,0.73
303,0,3.58,4.4,0.73,3.68,0.73,0.73
304,0,3.58,4.4,0.73,3.68,0.73,0.73
305,0,3.58,4.4,0.73,3.68,0.73,0.73
306,0,3.58,4.4,0.73,3.68,0.73,0.73
307,0,3.58,4.4,0.73,3.68,0.73,0.73
308,0,3.58,4.4,0.73,3.68,0.73,0.73
309,0,3.58,4.4,0.73,3.68,0.73,0.73
310,0,3.58,4.4,0.73,3.68,0.73,0.73
311,0,3.58,4.4,0.73,3.68,0.73,0.73
312,0,3.58,4.4,0.73,3.68,0.73,0.73
313,0,3.58,4.4,0.73,3.68,0.73,0.73
314,0,3.58,4.4,0.73,3.68,0.73,0.73
315,0,3.58,4.4,0.73,3.68,0.73,0.73
316,0,3.58,4.4,0.73,3.68,0.73,0.73
317,0,3.58,4.4,0.73,3.68,0.73,0.73
318,0,3.58,4.4,0.73,3.68,0.73,0.73
319,0,3.58,4.4,0.73,3.68,0.73,0.73
320,0,3.58,4.4,0.73,3.68,0.73,0.73
321,0,3.58,4.4,0.73,3.68,0.73,0.73
322,0,3.58,4.4,0.73,3.68,0.73,0.73
323,0,3.58,4.4,0.73,3.68,0.73,0.73
324,0,3.58,4.4,0.73,3.68,0.73,0.73
325,0,3.58,4.4,0.73,3.68,0.73,0.73
326,0,3.58,4.4,0.73,3.68,0.73,0.73
327,0,3.58,4.4,0.73,3.68,0.73,0.73
328,0,3.58,4.4,0.73,3.68,0.73,0.73
329,0,3.58,4.4,0.73,3.68,0.73,0.73
330,0,3.58,4.4,0.73,3.68,0.73,0.73
331,0,3.58,4.4,0.73,3.68,0.73,0.73
332,0,3.58,4.4,0.73,3.68,0.73,0.73
333,0,3.58,4.4,0.73,3.68,0.73,0.73
334,0,3.58,4.4,0.73,3.68,0.73,0.73
335,0,3.58,4.4,0.73,3.68,0.73,0.73
336,0,3.58,4.4,0.73,3.68,0.73,0.73
337,0,3.58,4.4,0.73,3.68,0.73,0.73
338,0,3.58,4.4,0.73,3.68,0.73,0.73
339,0,3.58,4.4,0.73,3.68,0.73,0.73
340,0,3.58,4.4,0.73,3.68,0.73,0.73
341,0,3.58,4.4,0.73,3.68,0.73,0.73
342,0,3.58,4.4,0.73,3.68,0.73,0.73
343,0,3.58,4.4,0.73,3.68,0.73,0.73
344,0,3.58,4.4,0.73,3.68,0.73,0.73
345,0,3.58,4.4,0.73,3.68,0.73,0.73
346,0,3.58,4.4,0.73,3.68,0.73,0.73
347,0,3.58,4.4,0.73,3.68,0.73,0.73
348,0,3.58,4.4,0.73,3.68,0.73,0.73
349,0,3.58,4.4,0.73,3.68,0.73,0.73
350,0,3.58,4.4,0.73,3.68,0.73,0.73
351,0,3.58,4.4,0.73,3.68,0.73,0.73
352,0,3.58,4.4,0.73,3.68,0.73,0.73
353,0,3.58,4.4,0.73,3.68,0.73,0.73
354,0,3.58,4.4,0.73,3.68,0.73,0.73
355,0,3.58,4.4,0.73,3.68,0.73,0.73
356,0,3.58,4.4,0.73,3.68,0.73,0.73
357,0,3.58,4.4,0.73,3.68,0.73,0.73
358,0,3.58,4.4,0.73,3.68,0.73,0.73
359,0,3.58,4.4,0.73,3.68,0.73,0.73
360,0,3.58,4.4,0.73,3.68,0.73,0.73
361,0,3.58,4.4,0.73,3.68,0.73,0.73
362,0,3.58,4.4,0.73,3.68,0.73,0.73
363,0,3.58,4.4,0.73,3.68,0.73,0.73
364,0,3.58,4.4,0.73,3.68,0.73,0.73
365,0,3.58,4.4,0.73,3.68,0.73,0.73
366,0,3.58,4.4,0.73,3.68,0.73,0.73
367,0,3.58,4.4,0.73,3.68,0.73,0.73
368,0,3.58,4.4,0.73,3.68,0.73,0.73
369,0,3.58,4.4,0.73,3.68,0.73,0.73
370,0,3.58,4.4,0.73,3.68,0.73,0.73
371,0,3.58,4.4,0.73,3.68,0.73,0.73
372,0,3.58,4.4,0.73,3.68,0.73,0.73
373,0,3.58,4.4,0.73,3.68,0.73,0.73
374,0,3.58,4.4,0.73,3.68,0.73,0.73
375,0,3.58,4.4,0.73,3.68,0.73,0.73
376,0,3.58,4.4,0.73,3.68,0.73,0.73
377,0,3.58,4.4,0.73,3.68,0.73,0.73
378,0,3.58,4.4,0.73,3.68,0.73,0.73
379,0,3.58,4.4,0.73,3.68,0.73,0.73
380,0,3.58,4.4,0.73,3.68,0.73,0.73
381,0,3.58,4.4,0.73,3.68,0.73,0.73
382,0,3.58,4.4,0.73,3.68,0.73,0.73
383,0,3.58,4.4,0.73,3.68,0.73,0.73
384,0,3.58,4.4,0.73,3.68,0.73,0.73
385,0,3.58,4.4,0.73,3.68,0.73,0.73
386,0,3.58,4.4,0.73,3.68,0.73,0.73
387,0,3.58,4.4,0.73,3.68,0.73,0.73
388,0,3.58,4.4,0.73,3.68,0.73,0.73
389,0,3.58,4.4,0.73,3.68,0.73,0.73
390,0,3.58,4.4,0.73,3.68,0.73,0.73
391,0,3.58,4.4,0.73,3.68,0.73,0.73
392,0,3.58,4.4,0.73,3.68,0.73,0.73
393,0,3.58,4.4,0.73,3.68,0.73,0.73
394,0,3.58,4.4,0.73,3.68,0.73,0.73
395,0,3.58,4.4,0.73,3.68,0.73,0.73
396,0,3.58,4.4,0.73,3.68,0.73,0.73
397,0,3.58,4.4,0.73,3.68,0.73,0.73
398,0,3.58,4.4,0.73,3.68,0.73,0.73
399,0,3.58,4.4,0.73,3.68,0.73,0.73
400,0,3.58,4.4,0.73,3.68,0.73,0.73
401,0,3.58,4.4,0.73,3.68,0.73,0.73
402,0,3.58,4.4,0.73,3.68,0.73,0.73
403,0,3.58,4.4,0.73,3.68,0.73,0.73
404,0,3.58,4.4,0.73,3.68,0.73,0.73
405,0,3.58,4.4,0.73,3.68,0.73,0.73
406,0,3.58,4.4,0.73,3.68,0.73,0.73
407,0,3.58,4.4,0.73,3.68,0.73,0.73
408,0,3.58,4.4,0.73,3.68,0.73,0.73
409,0,3.58,4.4,0.73,3.68,0.73,0.73
410,0,3.58,4.4,0.73,3.68,0.73,0.73
411,0,3.58,4.4,0.73,3.68,0.73,0.73
412,0,3.58,4.4,0.73,3.68,0.73,0.73
413,0,3.58,4.4,0.73,3.68,0.73,0.73
414,0,3.58,4.4,0.73,3.68,0.73,0.73
415,0,3.58,4.4,0.73,3.68,0.73,0.73
416,0,3.58,4.4,0.73,3.68,0.73,0.73
417,0,3.58,4.4,0.73,3.68,0.73,0.73
418,0,3.58,4.4,0.73,3.68,0.73,0.73
419,0,3.58,4.4,0.73,3.68,0.73,0.73
420,0,3.58,4.4,0.73,3.68,0.73,0.73
421,0,3.58,4.4,0.73,3.68,0.73,0.73
422,0,3.58,4.4,0.73,3.68,0.73,0.73
423,0,3.58,4.4,0.73,3.68,0.73,0.73
424,0,3.58,4.4,0.73,3.68,0.73,0.73
425,0,3.58,4.4,0.73,3.68,0.73,0.73
426,0,3.58,4.4,0.73,3.68,0.73,0.73
427,0,3.58,4.4,0.73,3.68,0.73,0.73
428,0,3.58,4.4,0.73,3.68,0.73,0.73
429,0,3.58,4.4,0.73,3.68,0.73,0.73
430,0,3.58,4.4,0.73,3.68,0.73,0.73
431,0,3.58,4.4,0.73,3.68,0.73,0.73
432,0,3.58,4.4,0.73,3.68,0.73,0.73
433,0,3.58,4.4,0.73,3.68,0.73,0.73
434,0,3.58,4.4,0.73,3.68,0.73,0.73
435,0,3.58,4.4,0.73,3.68,0.73,0.73
436,0,3.58,4.4,0.73,3.68,0.73,0.73
437,0,3.58,4.4,0.73,3.68,0.73,0.73
438,0,3.58,4.4,0.73,3.68,0.73,0.73
439,0,3.58,4.4,0.73,3.68,0.73,0.73
440,0,3.58,4.4,0.73,3.68,0.73,0.73
441,0,3.58,4.4,0.73,3.68,0.73,0.73
442,0,3.58,4.4,0.73,3.68,0.73,0.73
443,0,3.58,4.4,0.73,3.68,0.73,0.73
444,0,3.58,4.4,0.73,3.68,0.73,0.73
445,0,3.58,4.4,0.73,3.68,0.73,0.73
446,0,3.58,4.4,0.73,3.68,0.73,0.73
447,0,3.58,4.4,0.73,3.68,0.73,0.73
448,0,3.58,4.4,0.73,3.68,0.73,0.73
449,0,3.58,4.4,0.73,3.68,0.73,0.73
450,0,3.58,4.4,0.73,3.68,0.73,0.73
451,0,3.58,4.4,0.73,3.68,0.73,0.73
452,0,3.58,4.4,0.73,3.68,0.73,0.73
453,0,3.58,4.4,0.73,3.68,0.73,0.73
454,0,3.58,4.4,0.73,3.68,0.73,0.73
455,0,3.58,4.4,0.73,3.68,0.73,0.73
456,0,3.58,4.4,0.73,3.68,0.73,0.73
457,0,3.58,4.4,0.73,3.68,0.73,0.73
458,0,3.58,4.4,0.73,3.68,0.73,0.73
459,0,3.58,4.4,0.73,3.68,0.73,0.73
460,0,3.58,4.4,0.73,3.68,0.73,0.73
461,0,3.58,4.4,0.73,3.68,0.73,0.73
462,0,3.58,4.4,0.73,3.68,0.73,0.73
463,0,3.58,4.4,0.73,3.68,0.73,0.73
464,0,3.58,4.4,0.73,3.68,0.73,0.73
465,0,3.58,4.4,0.73,3.68,0.73,0.73
466,0,3.58,4.4,0.73,3.68,0.73,0.73
467,0,3.58,4.4,0.73,3.68,0.73,0.73
468,0,3.58,4.4,0.73,3.68,0.73,0.73
469,0,3.58,4.4,0.73,3.68,0.73,0.73
470,0,3.58,4.4,0.73,3.68,0.73,0.73
471,0,3.58,4.4,0.73,3.68,0.73,0.73
472,0,3.58,4.4,0.73,3.68,0.73,0.73
473,0,3.58,4.4,0.73,3.68,0.73,0.73
474,0,3.58,4.4,0.73,3.68,0.73,0.73
475,0,3.58,4.4,0.73,3.68,0.73,0.73
476,0,3.58,4.4,0.73,3.68,0.73,0.73
477,0,3.58,4.4,0.73,3.68,0.73,0.73
478,0,3.58,4.4,0.73,3.68,0.73,0.73
479,0,3.58,4.4,0.73,3.68,0.73,0.73
480,0,3.58,4.4,0.73,3.68,0.73,0.73
481,0,3.58,4.4,0.73,3.68,0.73,0.73
482,0,3.58,4.4,0.73,3.68,0.73,0.73
483,0,3.58,4.4,0.73,3.68,0.73,0.73
484,0,3.58,4.4,0.73,3.68,0.73,0.73
485,0,3.58,4.4,0.73,3.68,0.73,0.73
486,0,3.58,4.4,0.73,3.68,0.73,0.73
487,0,3.58,4.4,0.73,3.68,0.73,0.73
488,0,3.58,4.4,0.73,3.68,0.73,0.73
489,0,3.58,4.4,0.73,3.68,0.73,0.73
490,0,3.58,4.4,0.73,3.68,0.73,0.73
491,0,3.58,4.4,0.73,3.68,0.73,0.73
492,0,3.58,4.4,0.73,3.68,0.73,0.73
493,0,3.58,4.4,0.73,3.68,0.73,0.73
